Price,Close,High,Low,Open,Volume
9/25/2019,53.28229141,53.39559161,52.34455408,52.68445467,87613600
9/26/2019,53.00748825,53.26060583,52.75196136,53.0340054,75334000
9/27/2019,52.74954605,53.26542208,52.378306,53.16417212,101408000
9/30/2019,53.9910202,54.13806916,53.22443596,53.25095311,103909600
10/1/2019,54.14048004,55.0155422,54.04646537,54.25619323,139223200
10/2/2019,52.78329086,53.89700359,52.53499196,53.77164948,138449200
10/3/2019,53.23166656,53.26541532,51.86001408,52.65552102,114426000
10/4/2019,54.72385406,54.83956726,53.97173671,54.39359806,138478800
10/7/2019,54.73591614,55.42776769,54.44181817,54.54547746,122306000
10/8/2019,54.09466553,54.97695911,54.07779299,54.43697905,111820000
10/9/2019,54.72866821,54.91187522,54.39358996,54.72866821,74770400
10/10/2019,55.46632385,55.55069759,54.79375801,54.94562558,113013600
10/11/2019,56.94164658,57.28636583,56.00149613,56.15577672,166795600
10/14/2019,56.85968018,57.40448636,56.57040454,56.62584815,96427600
10/15/2019,56.72709274,57.28876774,56.62102416,56.9850289,87360000
10/16/2019,56.49808121,56.70780906,56.2160372,56.25701758,73903200
10/17/2019,56.71745682,56.92718102,56.29318611,56.67165413,67585200
10/18/2019,56.98985291,57.27189691,56.47879552,56.55111534,97433600
10/21/2019,57.97821426,58.09392746,57.20922435,57.25743634,87247200
10/22/2019,57.84562302,58.38560313,57.7636586,58.1348986,82293600
10/23/2019,58.62185287,58.63631978,58.14937021,58.36150739,75828800
10/24/2019,58.71828079,59.01237872,58.29159713,58.94246821,69275200
10/25/2019,59.44147491,59.47763299,58.54954015,58.61703768,73477200
10/28/2019,60.0369072,60.08511919,59.47522841,59.64397224,96572800
10/29/2019,58.64836502,60.20563759,58.4748026,60.01760826,142839600
10/30/2019,58.6411438,59.13291572,58.14696625,59.00273928,124522000
10/31/2019,59.96699142,60.0658284,57.19475949,59.60057733,139162000
11/1/2019,61.66889572,61.69540919,60.06341116,60.15501284,151125200
